STT	Tên Công ty	Website	Số Đề tài	Số NV	Tuyển dụng	Địa chỉ
34	"HBLAB
Công ty cổ phần HBLAB"	Website	6	250	20 SV	Tầng 2, Tháp C, toà nhà Central Point, 219 Trung Kính, phương Yên Hoà, Cầu Giấy, Hà Nội.
35	"Base Enterprise
Công ty cổ phần Base Enterprise"	Website	7	250	30 SV	Tầng 3, tòa A GoldSeason, 47 Nguyễn Tuân, Thanh Xuân, Hà Nội
36	"Trung tâm Công nghệ Thông tin MobiFone
Trung tâm Công nghệ Thông tin MobiFone - Chi nhánh Tổng Công ty Viễn thông  MobiFone"	Website	40	250	30 SV	Tòa Thai Nam Building, số 22D, Dương Đình Nghệ, Yên Hòa, Cầu Giấy, Hà Nội
37	"VietIS Corporation
Công ty cổ phần Đầu tư và Giải pháp VietIS"	Website	7	200	4 SV	Tòa nhà 3A ngõ 82 Duy Tân, Cầu Giấy, Hà Nội
38	"Gameloft
Chi nhánh Công ty TNHH Gameloft tại Hà Nội"	Website	3	200	15 SV	Tầng 3 & 4, toà nhà Lilama 10, phố Tố Hữu, phường Trung Văn, quận Nam Từ Liêm, Hà Nội
39	"VinBigData
Vingroup Big Data Institute"	Website	5	200	20 SV	Tầng 5, tòa nhà Tower 1, TTTM Times City, 458 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội
40	"TopCV Việt Nam
Công ty cổ phần TopCV Việt Nam"	Website	2	150	10 SV	Tầng 03, Tòa nhà Goldseason, 47 Nguyễn Tuân, Thanh Xuân, Hà Nội
41	"TRÍ NAM
TẬP ĐOÀN TRÍ NAM"	Website	18	150	30 SV	Số 94 Nguyễn Khánh Toàn, Cầu Giấy, HN
42	"LINAGORA
Công ty TNHH Linagora"	Website	6	150	3 SV	Phòng 9.21, Tầng 9, Toong, số 5 Điện Biên Phủ, phường Điện Biên, quận Ba Đình, Hà Nội
43	"Flinters Việt Nam
Công ty TNHH Flinters Việt Nam"	Website	5	130	50 SV	Phòng 1801, tầng 18, tòa CMC, 11 Duy Tân, Cầu Giấy, Hà Nội / Tầng 24, tòa nhà Discovery Complex, số 302 Cầu Giấy, TP Hà Nội
44	"Thủ Đô Multimedia
Công ty Cổ phần truyền thông Đa phương tiện Thủ Đô"	Website	5	120	20 SV	tầng 10, tòa Diamond Flower Tower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội
45	"Magenest.,JSC
Công ty Cổ phần Magenest Việt Nam"	Website	5	120	10 SV	P409, tầng 4, tòa nhà GP Invest, số 170 La Thành, phường Ô Chợ Dừa, Đống Đa, Hà Nội
46	"Rabiloo
Công ty TNHH Rabiloo"	Website	6	100	20 SV	Tầng 5, toà nhà A3 Ecolife Capitol, số 58 Tố Hữu, Mễ Trì, Nam Từ Liêm, Hà Nội
